'Erdos727.good_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.exists_progression' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.card_failSet_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.sq_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.small_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.medium_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.large_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.infinite_good' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.k3_of_mertensAP' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.k2_of_mertensAP' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.mertensAP_210' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.erdos727_k3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos727.erdos727_k2' depends on axioms: [propext, Classical.choice, Quot.sound]
